CNS,RFC,PROVEEDOR,PARTIDA,CLAVE ,DESCRIPCIÓN,UNIDAD DE MEDIDA,CLAVE (SAICA),"DESCRIPCIÓN
 (SAICA)",UNIDAD DE MEDIDA (SAICA),CANTIDAD RECIBIDA,FECHA DE ENTREGA,LUGAR DE ENTREGA,CONTRATO,REMISION,PEDIDO,LOTE,CADUCIDAD,FOLIO ,OBSERVACIONES ,COSTO UNITARIO PESOS,"COSTO UNITARIO PESOS (UNOPS) CON IVA
PARTIDA 2541",COSTO UNITARIO PESOS (UNOPS) SIN IVA,COSTO UNITARIO DOLARES (UNOPS),COSTO UNITARIO EN DOLARES,TIPO DE CAMBIO,COSTO UNITARIO SIN IVA,PRECIO UNITARIO SIN IVA,IVA,PIEZAS,PRECIO UNITARIO CON IVA SIN IVA,SUBTOTAL,IVA.1,IMPORTE TOTAL,MARCA,FABRICANTE,FECHA DE FABRICACIÓN,CADUCIDAD CONFORME A CERTIFICADO,TIPO DE ENTREGA,LICITACION/PROCEDIMIENTO,RESPONSABLE,REVISO,TIPO DE RED,FECHA DE CAPTURA,EPA
3789,SAN641110MK7,"SANDOZ, S.A. DE C.V.",2531,010.000.4111.00,TRINITRATO DE GLICERILO PARCHE CADA PARCHE LIBERA: TRINITRATO DE GLICERILO 5MG/DIA ENVASE CON 7 PARCHES.,Pieza,4111,TRINITRATO DE GLICERILO PARCHE CADA PARCHE LIBERA: TRINITRATO DE GLICERILO 5 MG/DIA ENVASE CON 7 PARCHES. 5 mg / día Parche,ENV7PZA,60,2025-07-01,JARDIN,IB/1780/2025,1197369397,IMBB-09-02-2025-09094989-U013,ALTA00325,2027-03-31 00:00:00,2117,,77.5,,0,,0,,77.5,77.5,0.0,60,77.5,4650.0,0.0,4650.0,NITRODERM TTS,LTS LOHMAN THERAPIE,2024-04-19,,IMSS-BIENESTAR,AA-12-NEF-012NEF001-I-31-2025,MIGUEL HERNANDEZ,ARACELI,RED SECA,2025-07-01,NAN
3790,LSI8112153I7,"LABORATORIOS SILANES, S.A. DE C.V.",2531,010.000.1042.00,GLIBENCLAMIDA TABLETA CADA TABLETA CONTIENE: GLIBENCLAMIDA 5 MG ENVASE CON 50TABLETAS.,Pieza,1042,GLIBENCLAMIDA TABLETA CADA TABLETA CONTIENE: GLIBENCLAMIDA 5 MG ENVASE CON 50 TABLETAS. 5 mg Tabletas,ENV50TAB,849,2025-07-01,JARDIN,IB/1686/2025,1475487686,IMBB-09-02-2025-09094412-U013,25E328V1,2028-05-31 00:00:00,2120,,3.5,,0,,0,,3.5,3.5,0.0,849,3.5,2971.5,0.0,2971.5,NORBORAL,LABORATORIOS SILANES S.A. DE C.V.,2025-05-14,,IMSS-BIENESTAR,AA-12-NEF-012NEF001-I-31-2025,MIGUEL HERNANDEZ,ARACELI,RED SECA,2025-07-01,NAN
3791,AME9006135H0,"ASOFARMA DE MEXICO, S.A. DE C.V.",2531,010.000.4307.00,CILOSTAZOL TABLETA CADA TABLETA CONTIENE: CILOSTAZOL 100 MG ENVASE CON 30TABLETAS.,Pieza,010.000.4307.00,CILOSTAZOL TABLETA CADA TABLETA CONTIENE: CILOSTAZOL 100 MG ENVASE CON 30TABLETAS.,Pieza,9,2025-07-01,JARDIN,IB/2183/2025,2417714884,IMBB-09-02-2025-09113858-U013,99705,2027-01-23 00:00:00,2101,,89.09,,0,,0,,89.09,89.09,0.0,9,89.09,801.8100000000001,0.0,801.8100000000001,CLAUTER,MONE VERDE S.A.,2025-01-23,,IMSS-BIENESTAR,IA-12-NEF-012NEF001-I-30-2025,LAURA VIANETH,ARACELI,RED SECA,2025-07-01,NAN
3792,BIM0711148Q0,"BOEHRINGER INGELHEIM MEXICO, S.A. DE C.V.",2531,010.000.5552.01,DABIGATRAN ETEXILATO. CAPSULA. CADA CAPSULA CONTIENE: DABIGATRAN ETEXILATOMESILATO EQUIVALENTE A 110 MG DE DABIGATRAN ETEXILATO. ENVASE CON 60 CAPSULAS.,Pieza,5552.01,Dabigatrán etexilato. 110 mg. Cápsulas,Envase con 60 cápsulas.,1,2025-07-01,JARDIN,IB/0654/2025,2493204719,IMBB-09-02-2025-09101004-U013,406228,2027-11-30 00:00:00,2102,,1196.62,,0,,0,,1196.62,1196.62,0.0,1,1196.62,1196.62,0.0,1196.62,PRADAXAR,"BOEHRINGER INGELHEIM MEXICO,  S.A. DE C.V.",2024-11-05,,IMSS-BIENESTAR,AA-12-NEF-012NEF001-I-2-2025,LAURA VIANETH,ARACELI,RED SECA,2025-07-01,NAN
3793,BLM570301JJ5,"BECKMAN LABORATORIES DE MEXICO, S.A. DE C.V.",2531,010.000.6231.00,PERINDOPRIL / AMLODIPINO. COMPRIMIDOS CADA COMPRIMIDO CONTIENE: PERINDROPRILARGININA 5 MG. AMLODIPINO 5 MG. FRASCO CON 30 COMPRIMIDOS.,Frasco,010.000.6231.00,PERINDOPRIL / AMLODIPINO. COMPRIMIDOS CADA COMPRIMIDO CONTIENE: PERINDROPRILARGININA 5 MG. AMLODIPINO 5 MG. FRASCO CON 30 COMPRIMIDOS.,Frasco,45,2025-07-01,JARDIN,IB/1543/2025,887233444,IMBB-09-02-2025-09101036-U013,744650,2026-06-13 00:00:00,2103,,132.76,,0,,0,,132.76,132.76,0.0,45,132.76,5974.2,0.0,5974.2,COVERSAM,SERVIER INDUSTRIES LTD,2024-06-13,,IMSS-BIENESTAR,AA-12-NEF-012NEF001-I-31-2025,LAURA VIANETH,ARACELI,RED SECA,2025-07-01,NAN
3794,BLM570301JJ5,"BECKMAN LABORATORIES DE MEXICO, S.A. DE C.V.",2531,010.000.6072.00,IVABRADINA. COMPRIMIDO CADA COMPRIMIDO CONTIENE: IVABRADINA 7.5 MG EQUIVALENTEA 8.085 MG DE CLORHIDRATO DE IVABRADINA ENVASE CON 56 COMPRIMIDOS.,Envase,010.000.6072.00,IVABRADINA. COMPRIMIDO CADA COMPRIMIDO CONTIENE: IVABRADINA 7.5 MG EQUIVALENTEA 8.085 MG DE CLORHIDRATO DE IVABRADINA ENVASE CON 56 COMPRIMIDOS.,Envase,1,2025-07-01,JARDIN,IB/1543/2025,1085415792,IMBB-09-02-2025-09101028-U013,6117758,2027-11-06 00:00:00,2104,,306.0,,0,,0,,306.0,306.0,0.0,1,306.0,306.0,0.0,306.0,PROCORALAN,"BECKMAN LABORATORIES DE MEXICO, S.A. DE C.V.",2024-11-06,,IMSS-BIENESTAR,AA-12-NEF-012NEF001-I-31-2025,LAURA VIANETH,ARACELI,RED SECA,2025-07-01,NAN
3795,BIM0711148Q0,"BOEHRINGER INGELHEIM MEXICO, S.A. DE C.V.",2531,010.000.5621.00,LINAGLIPTINA. TABLETA. CADA TABLETA CONTIENE: LINAGLIPTINA 5 MG. ENVASE CON 30TABLETAS.,Pieza,5621,Linagliptina 5 mg Tabletas,Envase con 30 tabletas.,23961,2025-07-01,JARDIN,IB/0654/2025,2808080896,IMBB-09-02-2025-09094998-U013,G95066,2028-02-29 00:00:00,2105,,253.57,,0,,0,,253.57,253.57,0.0,23961,253.57,6075790.77,0.0,6075790.77,TRAYENTA,"BOEHRINGER INGELHEIM MEXICO,  S.A. DE C.V.",2025-03-11,,IMSS-BIENESTAR,AA-12-NEF-012NEF001-I-2-2025,LAURA VIANETH,ARACELI,RED SECA,2025-07-01,NAN
3796,GME010706950,"GUERBET MEXICANA, S.A. DE C.V.",2551,070.592.0072,MEDIOS DE CONTRASTE PARA ESTUDIOS DE RESONANCIA MAGNÃ‰TICA. MEDIOS DE CONTRASTE PARA RESONANCIA MAGNÃ‰TICA. GADOLINEO 0.5 MMOL/ML. GADOPENTETATO DE DIMEGLUMINA GADOTERATO DE MEGLUMINA GADODIAMIDA GADOVERSETAMIDA. ENVASE CON 10 ML.,Pieza,070.592.0072,MEDIOS DE CONTRASTE PARA ESTUDIOS DE RESONANCIA MAGNÃ‰TICA. MEDIOS DE CONTRASTE PARA RESONANCIA MAGNÃ‰TICA. GADOLINEO 0.5 MMOL/ML. GADOPENTETATO DE DIMEGLUMINA GADOTERATO DE MEGLUMINA GADODIAMIDA GADOVERSETAMIDA. ENVASE CON 10 ML.,Pieza,1,2025-07-01,JARDIN,IB/1626/2025,2570496752,IMBB-09-02-2025-09089295-U013,25GD0040,2027-12-31 00:00:00,2108,,315.0,,0,,0,,315.0,315.0,50.4,1,365.4,315.0,50.4,365.4,DOTAREM,GUERBET MEXICANA S.A. DE C.V.,2025-01-10,,IMSS-BIENESTAR,AA-12-NEF-012NEF001-I-31-2025,LAURA VIANETH,ARACELI,RED SECA,2025-07-01,NAN
3797,GME010706950,"GUERBET MEXICANA, S.A. DE C.V.",2551,070.592.0080,MEDIOS DE CONTRASTE PARA ESTUDIOS DE RESONANCIA MAGNÃ‰TICA. MEDIOS DE CONTRASTE PARA RESONANCIA MAGNÃ‰TICA. GADOLINEO 0.5 MMOL/ML. GADOPENTETATO DE DIMEGLUMINA GADOTERATO DE MEGLUMINA GADODIAMIDA GADOVERSETAMIDA. ENVASE CON 15 ML.,Pieza,070.592.0080,MEDIO DE CONTRASTE PARA RESONANCIA MAGNÉTICA QUELATOS DE GADOLINEO 0.5 MMOL/ML  ,FRASCO CON 15 ml,24,2025-07-01,JARDIN,IB/1626/2025,211334420,IMBB-09-02-2025-09089296-U013,25GD0170,2028-01-31 00:00:00,2109,,330.0,,0,,0,,330.0,330.0,52.800000000000004,24,382.8,7920.000000000001,1267.2,9187.2,DOTAREM,GUERBET MEXICANA S.A. DE C.V.,2025-02-07,,IMSS-BIENESTAR,AA-12-NEF-012NEF001-I-31-2025,LAURA VIANETH,ARACELI,RED SECA,2025-07-01,NAN
3798,LRS030905Q16,"LABORATORIO RAAM DE SAHUAYO, S.A. DE C.V.",2531,010.000.1969.00,AZITROMICINA. TABLETA. CADA TABLETA CONTIENE: AZITROMICINA DIHIDRATADAEQUIVALENTE A 500 MG DE AZITROMICINA. ENVASE CON 3 TABLETAS.,Pieza,010.000.1969.00,Azitromicina. Tableta. Cada tableta contiene: Azitromicina dihidratada equivalente a 500 mg de azitromicina.  ,Envase con 3 tabletas,1213,2025-07-01,JARDIN,IB/1654/2025,979966102,IMBB-09-02-2025-09094980-U013,RC288,2027-03-31 00:00:00,2110,,11.2,,0,,0,,11.2,11.2,0.0,1213,11.2,13585.599999999999,0.0,13585.599999999999,CAZTRONIN,LABORATORIO RAAM DE SAHUAYO S.A. DE C.V.,2025-03-31,,IMSS-BIENESTAR,AA-12-NEF-012NEF001-I-31-2025,LAURA VIANETH,ARACELI,RED SECA,2025-07-01,NAN
3799,PFA800109TG4,"PRODUCTOS FARMACEUTICOS, S.A. DE C.V.",2531,010.000.0865.00,PERMETRINA. SOLUCION CADA 100 ML CONTIENEN: PERMETRINA 1 G ENVASE CON 110 ML.,Pieza,010.000.0865.00,PERMETRINA. SOLUCION CADA 100 ML CONTIENEN: PERMETRINA 1 G ENVASE CON 110 ML.,Pieza,877,2025-07-01,JARDIN,IB/1757/2025,47858613,IMBB-09-02-2025-09088986-U013,BEE015,2028-05-31 00:00:00,2111,,131.06,,0,,0,,131.06,131.06,0.0,877,131.06,114939.62,0.0,114939.62,SCABISAN SHAMPOO,PRODUCTOS FARMACEUTICOS S.A. DE C.V.,2025-05-09,,IMSS-BIENESTAR,AA-12-NEF-012NEF001-I-31-2025,LAURA VIANETH,ARACELI,RED SECA,2025-07-01,NAN
3800,LLI811201IX6,"LABORATORIOS LIOMONT, S.A. DE C.V.",2531,010.000.4263.00,ACICLOVIR COMPRIMIDO O TABLETA CADA COMPRIMIDO O TABLETA CONTIENE: ACICLOVIR200 MG ENVASE CON 25 COMPRIMIDOS O TABLETAS.,Pieza,4263,ACICLOVIR 200 mg Comprimidos,Envase con 25 comprimidos,512,2025-07-01,JARDIN,IB/1675/2025,1614704267,IMBB-09-02-2025-09094993-U013,K04194,2027-04-10 00:00:00,2112,,15.0,,0,,0,,15.0,15.0,0.0,512,15.0,7680.0,0.0,7680.0,CICLOFERON,LABORATORIOS LIOMONTS S.A. DE C.V.,2025-04-10,,IMSS-BIENESTAR,AA-12-NEF-012NEF001-I-31-2025,LAURA VIANETH,ARACELI,RED SECA,2025-07-01,NAN
